session_examen;academie;code_region;libelle_region;tranche_age;serie;inscrits;presents;admis;admis_sans_mention;admis_ab;admis_b;admis_tb;inscrits_filles;presents_filles;admis_filles;admis_sans_mention_filles;admis_ab_filles;admis_b_filles;admis_tb_filles
2012;CAEN;28;Normandie;17 ans ou plus;SERIE COLLEGE;225;202;106;74;30;2;0;113;102;52;34;17;1;0
2012;CLERMONT-FERRAND;84;Auvergne-et-Rhône-Alpes;17 ans ou plus;SERIE COLLEGE;252;242;139;112;23;4;0;128;123;74;60;11;3;0
2012;LILLE;32;Hauts-de-France;17 ans ou plus;SERIE COLLEGE;983;817;483;380;89;12;2;480;393;239;183;50;4;2
2012;LYON;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE COLLEGE;6886;6576;4438;3187;1057;175;19;3233;3105;2219;1567;528;110;14
2012;LYON;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE COLLEGE;26903;26787;25239;6957;8607;6757;2918;13702;13645;13021;3104;4236;3815;1866
2012;MONTPELLIER;76;Occitanie;15 ans ou moins;SERIE COLLEGE;21883;21770;19845;5554;6587;5227;2477;11366;11317;10564;2643;3375;3004;1542
2012;NANCY-METZ;44;Grand-Est;17 ans ou plus;SERIE COLLEGE;323;290;147;101;34;10;2;122;109;59;36;15;7;1
2012;RENNES;53;Bretagne;15 ans ou moins;SERIE COLLEGE;28464;28412;27283;4555;9268;8664;4796;14642;14617;14198;1981;4511;4670;3036
2012;TOULOUSE;76;Occitanie;15 ans ou moins;SERIE COLLEGE;23753;23669;22257;5157;7310;6477;3313;12156;12115;11528;2279;3560;3607;2082
2012;NANTES;52;Pays-de-la-Loire;16 ans;SERIE COLLEGE;7332;7101;4854;3001;1622;218;13;3309;3212;2299;1368;794;126;11
2012;NANTES;52;Pays-de-la-Loire;15 ans ou moins;SERIE COLLEGE;31467;31396;29623;5906;10810;8847;4060;16379;16346;15649;2594;5447;5000;2608
2012;ORLEANS-TOURS;24;Centre-Val-de-Loire;16 ans;SERIE COLLEGE;5387;5201;3100;2170;787;132;11;2473;2402;1519;1048;391;72;8
2012;ORLEANS-TOURS;24;Centre-Val-de-Loire;15 ans ou moins;SERIE COLLEGE;21098;21025;19245;5142;6355;5095;2653;10950;10917;10210;2360;3237;2931;1682
2012;REIMS;44;Grand-Est;15 ans ou moins;SERIE COLLEGE;10909;10859;9839;2892;3068;2501;1378;5662;5636;5254;1380;1595;1410;869
2012;ROUEN;28;Normandie;16 ans;SERIE COLLEGE;4341;4140;2841;2146;581;104;10;2053;1967;1440;1085;296;54;5
2012;ROUEN;28;Normandie;17 ans ou plus;SERIE COLLEGE;429;371;206;161;34;9;2;208;177;110;86;18;5;1
2012;NICE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE COLLEGE;345;313;159;117;26;13;3;169;155;84;60;15;6;3
2012;CRETEIL;11;Île-de-France;16 ans;SERIE COLLEGE;10449;9948;5874;4186;1340;286;62;4556;4363;2875;1942;696;188;49
2012;CRETEIL;11;Île-de-France;15 ans ou moins;SERIE COLLEGE;36344;36111;32537;9978;10327;8265;3967;18998;18906;17529;4710;5339;4842;2638
